name,mz,rt,MS2.spectrum.name,Candidate.number,Level,Compound.name,CAS.ID,HMDB.ID,KEGG.ID,Lab.ID,Adduct,mz.error,mz.match.score,RT.error,RT.match.score,CE,SS,Total.score,Database,super_class,class,sub_class
M167T294_POS,167.056336706947,294.266647338867,mz167.05645338806rt272.013306,1,2,3-Methylxanthine,1076-22-8,HMDB0001886,C16357,NO00316,(M+H)+,0.1334701,0.9999857,NA,NA,20,0.7885009,0.8678077,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
M167T493_POS,167.070269406632,492.654495239258,mz167.070439116179rt488.343624,1,2,"3,4-Dimethoxybenzaldehyde",NA,HMDB0032138,C02201,MONA_14591,(M+H)+,0.3623404,0.999895,NA,NA,HCD (NCE 20-30-40%),0.4955715,0.6846928,monaDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Methoxybenzenes
M167T546_NEG,167.107573067587,545.561065673828,mz167.107525000945rt558.323916,1,2,Geranic acid,NA,NA,NA,MONA_15698,(M-H)-,0.5118776,0.9997904,NA,NA,HCD (NCE 20-30-40%),0.6465843,0.7790366,monaDatabase0.0.1,NA,NA,NA
M167T586_POS,167.07025574828,585.513641357422,mz167.070356716597rt589.64316,1,2,4-Methoxyphenylacetic acid,104-01-8,HMDB0002072,NA,S0253,(M+H)+,0.1417915,0.9999839,NA,NA,15,0.6952309,0.8095133,nistDatabase0.0.1,Benzenoids,Phenol ethers,Anisoles
M167T745_2_POS,167.070214668842,745.126647949219,mz167.070389485189rt766.40064,1,2,4-Ethoxybenzoic acid,619-86-3,NA,NA,NO00321,(M+H)+,0.223713,0.99996,NA,NA,20,0.5733378,0.7333211,orbitrapDatabase0.0.1,NA,NA,NA
M168T121_POS,168.029238056141,121.472816467285,mz168.029449462891rt113.617578,1,2,"2,3-Pyridinedicarboxylic acid",89-00-9,HMDB0000232,C03722,NO00343,(M+H)+,0.6236572,0.9996889,NA,NA,10,0.690164,0.8062358,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
M168T241_POS,168.063021602227,241.317108154297,mz168.065708553427rt242.651124,1,2,3-Hydroxyacetaminophen,37519-14-5,NA,NA,NO00350,(M+H)+,0.5213836,0.9997826,NA,NA,20,0.68749420000000006,0.8046024,orbitrapDatabase0.0.1,NA,NA,NA
M168T427_POS,168.113106521719,426.516998291016,mz168.113256440975rt415.379604,1,2,4-Fluoromethamphetamine,351-03-1,NA,NA,NO00335,(M+H)+,12.6089,0.8805686,NA,NA,5,0.6116053,0.7124665,orbitrapDatabase0.0.1,NA,NA,NA
M168T488_POS,168.101915601085,488.307174682617,mz168.102114658832rt484.159266,1,2,Phenylephrine,59-42-7,HMDB0002182,C07441,shen_2457_HMDB02182,(M+H)+,0.4649846,0.999827,NA,NA,Unknown_1,0.5402414,0.712586,hmdbDatabase0.0.1,Benzenoids,Phenols,1-hydroxy-4-unsubstituted benzenoids
M169T326_POS,169.097148264013,325.571472167969,mz169.097366055784rt312.059424,1,2,Pyridoxamine,85-87-0,HMDB0001431,C00534,shen_1920_HMDB01431,(M+H)+,0.4710445,0.9998225,NA,NA,Unknown_2,0.5872555,0.7419681,hmdbDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxamines
M169T365_POS,169.047110853535,365.061340332031,mz169.049697875977rt306.116532,1,2,3-Hydroxy-4-methoxybenzoic acid,645-08-9,HMDB0060003,NA,NO00363,(M+H)+,0.2446899,0.9999521,NA,NA,20,0.4225897,0.6391006,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M170T124_POS,170.038771745316,124.116683959961,mz170.038817454539rt114.59808,1,2,DCA_170.0367_15.5,26772-93-0,NA,NA,MONA_11628,(M+H)+,5.189746,0.9786837,NA,NA,15 (nominal),0.68679,0.7962501,monaDatabase0.0.1,NA,NA,NA
M170T209_POS,170.09226506134,208.781890869141,mz170.092548016958rt197.55099,1,2,3-Methyl-L-histidine,368-16-1,HMDB0000479,C01152,NO00403,(M+H)+,0.3700424,0.9998905,NA,NA,10,0.6477592,0.7798084,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M170T304_POS,170.044641313202,304.470901489258,mz170.044853158792rt295.159572,1,2,2-Furoylglycine,NA,HMDB0000439,NA,MONA_18941,(M+H)+,0.113637,0.9999897,NA,NA,10,0.7534931,0.8459293,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M170T344_POS,170.059897406929,343.751007080078,mz170.060195909354rt331.822314,1,1,3-Indoleacrylic acid,NA,NA,NA,RPLC_24,(M+H-H2O)+,0.4897734,0.9998081,10.22231,0.9935704,NCE50,0.6281998,0.8124445,msDatabase_rplc0.0.1,NA,NA,NA
M170T366_POS,170.081124736274,365.676239013672,mz170.081359863281rt353.864322,1,2,Pyridoxine,65-23-6,HMDB0000239,C00314,S0080,(M+H)+,0.4246582,0.9998557,NA,NA,10,0.4540242,0.658711,nistDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
M170T481_POS,170.04480698614,481.219512939453,mz170.044982910156rt446.940114,1,2,"N-3,4-Tridhydroxybenzamide",69839-83-4,NA,NA,NO00408,(M+H)+,0.4572754,0.9998327,NA,NA,5,0.5867377,0.7416483,orbitrapDatabase0.0.1,NA,NA,NA
M170T544_POS,170.060016012873,544.377746582031,mz170.059857507476rt491.844792,1,2,Indoleacrylic acid,1204-06-4,HMDB0000734,NA,S0026,(M+H-H2O)+,0.4312313,0.9998512,NA,NA,20,0.7332554,0.8332288,nistDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Indoles
M171T188_POS,171.087499569532,187.814392089844,mz171.087779960415rt171.66936,1,2,o-Phenylphenol,90-43-7,HMDB0032582,C02499,NO00432,(M+H)+,18.1999,0.7672143,NA,NA,10,0.5436696,0.6274989,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
M171T285_NEG,171.066169198147,284.950714111328,mz171.066183278911rt296.486112,1,2,"1,3-Cyclohexanedicarboxylic acid",3971-31-1,NA,NA,NO00473,(M-H)-,0.2918027,0.9999319,NA,NA,10,0.54783249999999994,0.7173698,orbitrapDatabase0.0.1,NA,NA,NA
M171T286_POS,171.087533583963,286.107772827148,mz171.087338442801rt262.134618,1,2,3-Hydroxybiphenyl,580-51-8,NA,C14342,NO00430,(M+H)+,17.09611,0.7915031,NA,NA,10,0.5023674,0.6107933,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Biphenyls and derivatives
M171T296_POS,171.063947440174,295.867462158203,mz171.062957763672rt345.671568,1,2,Penicillic acid,90-65-3,NA,C19495,NO00418,(M+H)+,5.605591,0.9751752,NA,NA,5,0.6341486,0.7620336,orbitrapDatabase0.0.1,Organic acids and derivatives,Keto acids and derivatives,Medium-chain keto acids and derivatives
M171T387_NEG,171.066241328778,386.861572265625,mz171.065994262695rt387.947556,1,2,"1,4-Cyclohexanedicarboxylic acid",NA,NA,NA,MONA_15373,(M-H)-,0.6615033,0.99965,NA,NA,HCD (NCE 20-30-40%),0.7047076,0.815311,monaDatabase0.0.1,NA,NA,NA
M171T398_POS,171.112771954872,398.062469482422,mz171.112899094774rt387.110202,1,2,Val-Ala,27493-61-4,NA,NA,NO00838,(M+H-H2O)+,0.2477369,0.9999509,NA,NA,15,0.5862217,0.7413701,orbitrapDatabase0.0.1,NA,NA,NA
M171T649_POS,171.1379021759,649.021057128906,mz171.137708617877rt636.47736,1,2,3-Hydroxycapric acid,5561-87-5,HMDB0002203,NA,n00692,(M+H-H2O)+,0.5784553,0.9997323,NA,NA,20,0.6542139,0.7837833,nistDatabase0.0.1,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
M171T736_POS,171.13793810304,735.551391601562,mz171.137598684244rt738.9627,1,2,cis-2-Decenoic acid,15790-91-7,NA,NA,NO00419,(M+H)+,1.003289,0.9991951,NA,NA,5,0.4642345,0.6648447,orbitrapDatabase0.0.1,NA,NA,NA
M172T390_POS,172.068449668469,389.862091064453,mz172.071800094462rt340.540542,1,2,Metronidazole,443-48-1,HMDB0015052,C07203,shen_4111_HMDB15052,(M+H)+,0.2723137,0.9999407,NA,NA,Unknown_11,0.7560142,0.8474866,hmdbDatabase0.0.1,Organoheterocyclic compounds,Azoles,Imidazoles
M173T111_NEG,173.008913098366,110.714752197266,mz173.008882387578rt148.500828,1,2,cis-Aconitic acid,585-84-2,HMDB0000072,C00417,NO00521,(M-H)-,0.5440311,0.9997633,NA,NA,15,0.7332588,0.833198,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,Tricarboxylic acids and derivatives
M173T114_POS,173.092054751137,114.16459274292,mz173.092239379883rt104.935668,1,2,Gly-Pro,704-15-4,NA,NA,NO00455,(M+H)+,0.3484497,0.9999029,NA,NA,20,0.7142818,0.8213897,orbitrapDatabase0.0.1,NA,NA,NA
M173T308_NEG,172.991450193826,308.288299560547,mz172.991203993033rt366.890958,1,2,4-Hydroxybenzenesulfonic acid,98-67-9,NA,C12849,M0494,(M-H)-,0.4900174,0.9998079,NA,NA,20,0.5608534,0.7254613,metlinDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzenesulfonic acids and derivatives
M173T383_POS,173.080835769571,382.634918212891,mz173.081090094283rt372.457086,1,2,Melamine,108-78-1,HMDB0041922,C08737,shen_5491_HMDB41922,(M+HCOO+2H)+,7.239681,0.9589365,NA,NA,Unknown_1,0.4422414,0.6360021,hmdbDatabase0.0.1,Organoheterocyclic compounds,Triazines,"1,3,5-triazines"
M174T221_POS,174.123678717756,220.553253173828,mz174.123868710747rt202.133286,1,2,"2,4-Dimethylmethcathinone",1225623-63-1,NA,NA,NO00930,(M+H-H2O)+,9.578223,0.9292347,NA,NA,15,0.5939743,0.719697,orbitrapDatabase0.0.1,NA,NA,NA
M174T433_NEG,174.055842352465,432.935668945312,mz174.056009844941rt442.563024,1,2,3-Indoleacetic acid,87-51-4,HMDB0000197,C00954,NO00538,(M-H)-,0.02461235,0.9999995,NA,NA,10,0.6819889,0.8012429,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
M174T527_POS,174.1124980313,526.6015625,mz174.112666939289rt486.54774,1,2,Acetyl-DL-Leucine,99-15-0,NA,D07350,L0046,(M+H)+,0.4423482,0.9998435,NA,NA,25,0.7004528,0.8127243,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M175T141_POS,175.027582480547,140.691795349121,mz175.027969360352rt132.944214,1,2,Dehydroascorbic acid (Oxidized vitamin C),490-83-5,HMDB0001264,NA,S0262,(M+H)+,10.5734,0.9144455,NA,NA,20,0.4505542,0.6245134,nistDatabase0.0.1,Organoheterocyclic compounds,Lactones,Gamma butyrolactones
M175T228_POS,175.086580899127,228.42032623291,mz175.086761474609rt216.233496,1,2,Indole-3-acetamide,879-37-8,HMDB0029739,C02693,NO00514,(M+H)+,0.4036865,0.9998696,NA,NA,5,0.4132138,0.6332097,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Indoles
M175T302_NEG,175.061069955222,302.420959472656,mz175.060821533203rt299.979888,1,2,2-Isopropylmalic acid,3237-44-3,HMDB0000402,C02504,S0112,(M-H)-,0.896167,0.9993577,NA,NA,15,0.4052747,0.6280558,nistDatabase0.0.1,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates
M175T354_POS,175.122960514442,353.677352905273,mz175.123135900667rt341.242692,1,2,L-Arginine,74-79-3,HMDB0000517,C00062,MONA_18294,(M+H)+,10.40053,0.9171018,NA,NA,10,0.6396182,0.7436745,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M175T499_NEG,175.097268980211,498.838623046875,mz175.097244262695rt551.402886,1,2,Serotonin,50-67-9 (153-98-0),HMDB0000259,C00780,S0123,(M-H)-,23.96066,0.6317317,NA,NA,15,0.5506863,0.5810783,nistDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Tryptamines and derivatives
M175T96_NEG,175.024677559965,95.8822784423828,mz175.024429321289rt96.625542,1,2,Vitamin C,50-81-7,HMDB0000044,C00072,NO00571,(M-H)-,0.9266968,0.9993132,NA,NA,15,0.732262,0.8324062,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Dihydrofurans,Furanones
M176T109_POS,176.102653989684,108.570266723633,mz176.103092928518rt97.069818,1,2,Citrulline,372-75-8,HMDB0000904,C00327,shen_1524_HMDB00904,(M+H)+,0.2540788,0.9999484,NA,NA,Unknown_8,0.5770048,0.7356086,hmdbDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M176T118_POS,176.055364783471,117.974563598633,mz176.055465698242rt104.800926,1,2,N-Acetyl-L-aspartic acid,997-55-7,HMDB0000812,C01042,S0246,(M+H)+,0.2392456,0.9999542,NA,NA,25,0.7072588,0.8170196,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M176T245_POS,176.12808457484,245.444519042969,mz176.128219604492rt236.13588,1,2,N-n-Butylpropionamide,2955-67-1,NA,NA,NO07469,(M+HCOO+2H)+,0.04901123,0.9999981,NA,NA,10,0.6786699,0.799168,orbitrapDatabase0.0.1,NA,NA,NA
M176T375_POS,176.07061812036,375.053100585938,mz176.070805341717rt426.727086,1,2,Indoleacetic acid,87-51-4,HMDB0000197,C00954,S0136,(M+H)+,0.4383543,0.9998463,NA,NA,25,0.7307491,0.8316606,nistDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Indolyl carboxylic acids and derivatives
M177T292_NEG,177.022516897616,291.993743896484,mz177.022510988759rt241.271268,1,2,esculetin,305-01-1,NA,C09263,MassBank_15896,(M-H)-,8.027472,0.949754,NA,NA,50 % (nominal),0.4163201,0.6163578,massbankDatabase0.0.1,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins
M177T430_POS,177.054808470557,430.091064453125,mz177.054533227972rt420.05199,1,2,trans-Ferulic acid,537-98-4,HMDB0000954,C01494,n00739,(M+H-H2O)+,0.1919301,0.9999705,NA,NA,30,0.6947202,0.8091891,nistDatabase0.0.1,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
M177T484_POS,177.054657683356,484.425476074219,mz177.054901123047rt436.643106,1,2,3-Hydroxy-4-methoxycinnamic acid,537-73-5,HMDB0000955,C10470,NO01030,(M+H-H2O)+,0.7528076,0.9995467,NA,NA,15,0.4616302,0.6633489,orbitrapDatabase0.0.1,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives
M177T97_NEG,177.04025156572,97.0899963378906,mz177.0400390625rt110.32605,1,2,Cysteinylglycine,19246-18-5,HMDB0000078,C01419,L0112,(M-H)-,15.32266,0.828758,NA,NA,70,0.4464119,0.5897917,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M178T125_POS,178.053355774239,124.96012878418,mz178.053329467773rt129.638202,1,2,L-(.+/-.)-Alliin,17795-26-5,NA,NA,NO00595,(M+H)+,0.07366943,0.9999957,NA,NA,10,0.6155481,0.759716,orbitrapDatabase0.0.1,NA,NA,NA
M178T287_POS,178.086385619226,287.328979492188,mz178.086364746094rt250.819122,1,2,3-Methylindole,83-34-1,HMDB0000466,C08313,n00255,(M+HCOO+2H)+,0.1618652,0.999979,NA,NA,20,0.5315651,0.7072203,nistDatabase0.0.1,Organoheterocyclic compounds,Indoles and derivatives,Indoles
M179T120_1_POS,179.044913430162,120.072784423828,mz179.04524230957rt113.348076,1,2,3-(4-Fluorobenzoyl)propionic acid,366-77-8,NA,NA,NO01077,(M+H-H2O)+,12.64423,0.8799403,NA,NA,15,0.5565484,0.6778204,orbitrapDatabase0.0.1,NA,NA,NA
M179T368_POS,179.070217123898,368.325286865234,mz179.070404052734rt355.602684,1,2,Coniferylaldehyde,NA,HMDB0141782,C02666,MONA_16330,(M+H)+,0.2746818,0.9999396,NA,NA,35,0.4734443,0.67088,monaDatabase0.0.1,Benzenoids,Phenols,Methoxyphenols
M179T590_NEG,179.107662910751,590.489074707031,mz179.107452392578rt626.78928,1,2,3-Hydroxyoctanoic acid,14292-27-4,HMDB0001954,NA,NO00203,(M+F)-,3.369019,0.9909609,NA,NA,20,0.4041349,0.6241946,orbitrapDatabase0.0.1,Organic acids and derivatives,Hydroxy acids and derivatives,Medium-chain hydroxy acids and derivatives
M179T88_NEG,179.055558279549,88.0365829467773,mz179.05571294472rt95.106642,1,1,D-Sorbitol,NA,HMDB0000247,C00794,RPLC_277,(M-H)-,0.9426382,0.9992894,80.29462,0.6716776,NCE25,0.5019826,0.668733,msDatabase_rplc0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
M180T184_NEG,180.029742096091,184.24885559082,mz180.033315426219rt144.870822,1,2,Acamprosate,77337-76-9,NA,D07058,MassBank_1741,(M-H)-,0.7114345,0.9995952,NA,NA,30 % (nominal),0.679375,0.7994576,massbankDatabase0.0.1,Organic acids and derivatives,Organic sulfonic acids and derivatives,Organosulfonic acids and derivatives
M180T347_1_POS,180.087907321193,346.594223022461,mz180.088166533728rt333.88068,1,2,D-(+)-Glucosamine,3416-24-8,NA,C00329,MONA_2810,(M+H)+,3.735044,0.9889016,NA,NA,Ramp 5-60,0.6597785,0.7831997,monaDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
M180T410_POS,180.065390996991,410.35530090332,mz180.065687729978rt399.830394,1,2,Hippuric acid,495-69-2,HMDB0000714,C01586,NO00647,(M+H)+,0.4693249,0.9998238,NA,NA,10,0.7562862,0.8476128,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M180T746_POS,180.10194792161101,745.690368652344,mz180.102020263672rt765.90054,1,2,Phenacetin,62-44-2,NA,C07591,NO00632,(M+H)+,0.3006592,0.9999277,NA,NA,10,0.4503028,0.6564121,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Anilides
M181T216_POS,181.049536513196,216.221557617188,mz181.049635870161rt202.5375,1,2,Myristicinaldehyde,5780-07-4,NA,NA,NO00679,(M+H)+,0.0896754,0.9999936,NA,NA,5,0.4997899,0.6873663,orbitrapDatabase0.0.1,NA,NA,NA
M181T295_POS,181.071748286567,294.883331298828,mz181.072072124129rt327.143538,1,2,Theobromine,83-67-0,HMDB0002825,C07480,MONA_18372,(M+H)+,0.1165703,0.9999891,NA,NA,20,0.7391129,0.8369415,monaDatabase0.0.1,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
M181T325_POS,181.097109715233,324.841339111328,mz181.097312326683rt312.867798,1,2,Dulcin,150-69-6,HMDB0032565,C19415,M1586,(M+H)+,0.2808167,0.9999369,NA,NA,20,0.5386757,0.7116486,metlinDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,N-phenylureas
M181T745_1_POS,181.085765320096,744.5859375,mz181.086059570313rt718.89702,1,2,Isopropyl 4-hydroxybenzoate,4191-73-5,NA,C20343,NO00665,(M+H)+,0.3989258,0.9998727,NA,NA,5,0.6163829,0.7601916,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M181T818_POS,181.049331214724,817.660278320312,mz181.049541909008rt842.8623,1,2,Aspirin,11126-35-5,HMDB0001879,C01405,MassBank_2118,(M+H)+,0.04522748,0.9999984,NA,NA,45 (nominal),0.7328399,0.8330243,massbankDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M182T143_2_POS,182.08103186362,143.086837768555,mz182.080779338439rt127.383144,1,2,L-Tyrosine,60-18-4,HMDB0000158,C00082,S0064,(M+H)+,1.026654,0.9991571,NA,NA,25,0.753558,0.8456577,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M182T239_POS,182.067239610433,239.272918701172,mz182.067459106445rt219.40839,1,2,Glufosinate,51276-47-2,NA,C05042,NO00705,(M+H)+,24.39777,0.6211387,NA,NA,5,0.6689375,0.651013,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M182T277_NEG,182.027948357287,276.923400878906,mz182.027871130963rt286.447386,1,2,2S-Amino-4-phosphonobutyric acid,23052-81-5,NA,NA,NO00753,(M-H)-,13.67783,0.8609952,NA,NA,5,0.6827242,0.7495758,orbitrapDatabase0.0.1,NA,NA,NA
M182T296_NEG,182.0457072422,296.138381958008,mz182.045588238054rt239.461488,1,2,4-Pyridoxic acid,82-82-6,HMDB0000017,C00847,NO00744,(M-H)-,0.7794049,0.9995141,NA,NA,20,0.7988023,0.8740692,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridinecarboxylic acids and derivatives
M182T657_POS,182.117626121441,656.897155761719,mz182.117782592773rt679.22748,1,2,Pregabalin,148553-50-8,HMDB0014375,D02716,MONA_18203,(M+Na)+,6.384522,0.9679163,NA,NA,10,0.5114672,0.6826356,monaDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M183T123_1_POS,183.048419874017,123.312969207764,mz183.05148427357rt113.752332,1,2,3-Methyluric acid,605-99-2,HMDB0001970,NA,L0199,(M+H)+,0.4856839,0.9998113,NA,NA,10,0.5420483,0.7137094,nistDatabase0.0.1,Organoheterocyclic compounds,Imidazopyrimidines,Purines and purine derivatives
M183T319_POS,183.076325150137,319.355972290039,mz183.076651427486rt295.891908,1,2,2-Acetyl-3-methylpyrazine,23787-80-6,HMDB0030001,NA,NO07590,(M+HCOO+2H)+,0.3785687,0.9998854,NA,NA,10,0.5796859,0.7372607,orbitrapDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds
M183T332_1_NEG,183.029677519523,331.650451660156,mz183.02946472168rt353.023668,1,2,3-O-Methylgallic acid,3934-84-7,NA,C05616,NO00772,(M-H)-,1.088196,0.9990531,NA,NA,20,0.6407615,0.7751208,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives
M183T512_NEG,183.102504299252,512.057556152344,mz183.10237121582rt556.816764,1,2,cis-Pinonic acid,473-72-3,NA,NA,NO00771,(M-H)-,0.5719605,0.9997383,NA,NA,10,0.6604779,0.7877006,orbitrapDatabase0.0.1,NA,NA,NA
M183T719_POS,183.08039623155,718.514404296875,mz183.080595258341rt737.28864,1,2,Benzophenone,119-61-9,HMDB0032049,C06354,NO00713,(M+H)+,0.2381459,0.9999546,NA,NA,10,0.7116364,0.8197557,orbitrapDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Benzophenones
M184T344_POS,184.096740179836,343.999603271484,mz184.096334095174rt332.154228,1,2,Ginkgotoxin,1464-33-1,HMDB0029455,NA,NO00740,(M+H)+,1.164762,0.9989153,NA,NA,5,0.5117426,0.6944324,orbitrapDatabase0.0.1,Organoheterocyclic compounds,Pyridines and derivatives,Pyridoxines
M184T473_NEG,184.097871391779,473.099029541016,mz184.09778574316rt505.534938,1,2,Ecgonine,NA,NA,NA,MONA_15659,(M-H)-,0.2689921,0.9999421,NA,NA,HCD (NCE 20-30-40%),0.5000442,0.6875059,monaDatabase0.0.1,NA,NA,NA
M185T105_NEG,185.056439264156,105.170921325684,mz185.056488037109rt123.72768,1,2,.alpha.-L-Glu-Gly,13716-89-7,NA,NA,NO01252,(M-H2O-H)-,0.5299072,0.9997754,NA,NA,15,0.6182557,0.7613256,orbitrapDatabase0.0.1,NA,NA,NA
M185T154_POS,185.063794494106,153.808792114258,mz185.066639326082rt175.681794,1,2,(2-Naphthalenyloxy)acetic acid,120-23-0,HMDB0032706,C18750,shen_4991_HMDB32706,(M+H-H2O)+,17.36285,0.7857042,NA,NA,Unknown_11,0.5401616,0.6322401,hmdbDatabase0.0.1,Benzenoids,Benzene and substituted derivatives,Phenoxyacetic acid derivatives
M185T250_POS,185.092034861001,250.289703369141,mz185.092174570255rt239.056008,1,2,Serinyl-Proline,71835-80-8,HMDB0029047,NA,n00788,(M+H-H2O)+,0.2864256,0.9999344,NA,NA,45,0.6240209,0.7649885,nistDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M185T337_POS,185.10324347517,336.942199707031,mz185.102992267913rt317.506458,1,2,Metribuzin-diketo,56507-37-0,NA,NA,MassBank_1443,(M+H)+,0.7693302,0.9995266,NA,NA,30 % (nominal),0.5708573,0.7316083,massbankDatabase0.0.1,NA,NA,NA
M185T470_NEG,185.081776727825,470.444061279297,mz185.081665039063rt527.992506,1,2,Gabapentin Related Compound E,67950-95-2,NA,NA,MONA_1245,(M-H)-,0.6097223,0.9997026,NA,NA,15 (nominal),0.5611897,0.725632,monaDatabase0.0.1,NA,NA,NA
M185T481_POS,185.128376325469,481.082336425781,mz185.128599336104rt476.653614,1,2,Leu-Ala,7298-84-2,NA,NA,NO01203,(M+H-H2O)+,0.4983403,0.9998013,NA,NA,30,0.4942964,0.6838607,orbitrapDatabase0.0.1,NA,NA,NA
M185T595_NEG,185.118089233698,595.100921630859,mz185.118041992188rt631.36992,1,2,10-Hydroxy-2-decenoic acid,14113-05-4,NA,NA,NO00810,(M-H)-,0.6450195,0.9996672,NA,NA,20,0.5906989,0.744062,orbitrapDatabase0.0.1,NA,NA,NA
M186T630_POS,186.076087799091,629.886535644531,mz186.076284338088rt645.11556,1,2,N-Acetyl-D-glucosamine,7512-17-6,HMDB0000215,C02711,S0068,(M+H-2H2O)+,0.6108452,0.9997015,NA,NA,30,0.8345906,0.8965072,nistDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
M187T1052_POS,187.00802079787,1052.02001953125,mz187.008191298817rt1068.0483,1,2,D-2-Phosphoglyceric acid,3443-57-0,HMDB0000362,NA,NO00807,(M+H)+,19.97825,0.7266544,NA,NA,5,0.5514214,0.6171338,orbitrapDatabase0.0.1,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates
M187T106_NEG,187.072316766772,106.118995666504,mz187.072078387739rt113.560302,1,2,N-Acetyl-L-glutamine,2490-97-3,HMDB0006029,D07063,NO00847,(M-H)-,0.8040307,0.999483,NA,NA,20,0.7696584,0.8558426,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M188T114_NEG,188.056378165298,113.762229919434,mz188.056195344773rt142.793496,1,2,N-Acetyl-L-glutamic acid,1188-37-0,HMDB0001138,C00624,NO00862,(M-H)-,0.5116381,0.9997906,NA,NA,15,0.7285704,0.830278,orbitrapDatabase0.0.1,Organic acids and derivatives,Carboxylic acids and derivatives,"Amino acids, peptides, and analogues"
M188T297_POS,188.128074894093,297.41194152832,mz188.12779112382rt274.885908,1,2,Tropine,120-29-6,NA,C00729,NO07664,(M+HCOO+2H)+,1.02219,0.9991645,NA,NA,25,0.4821966,0.6760596,orbitrapDatabase0.0.1,Alkaloids and derivatives,Tropane alkaloids,NA
